#{"t_start": 1747577978.1583893, "env_id": "KukaBulletEnv-v0"}
r,l,t,success
-635.203958,821,1214.822745,False
-771.852154,833,1216.696177,False
-560.371762,892,1217.898945,False
-1348.171019,923,1219.968608,False
-956.377021,873,1221.060133,False
-607.456158,910,1222.217355,False
-629.225062,847,1224.331264,False
-601.670275,852,1225.391125,False
-1021.479988,1000,1227.152288,False
-478.190016,898,1228.21575,False
-914.992977,923,1230.10943,False
-580.314697,881,1231.192225,False
-829.392059,891,1233.064403,False
-617.9191,843,1234.236903,False
-631.504951,850,1235.333637,False
-678.450751,882,1237.167854,False
-496.049431,817,1238.241728,False
-404.133753,873,1240.100962,False
-480.02425,848,1241.159683,False
-476.198272,851,1242.232341,False
-860.156354,853,1244.17359,False
-731.271702,860,1245.245027,False
-586.822038,863,1247.143129,False
-736.127779,852,1248.258028,False
